"media","strain","plasmid","inducer","ara_diln_index","ara_pc","volume","well","time","OD600","OD700","blueblue","bluelow","row","column","normalised_OD","pathlength","normalised_OD_cm1","normalised_blueblue","flu_quench","corrected_normalised_blueblue","calibrated_OD","calibrated_mTagBFP2"
"M9","DH10B","pS361_ara_mTagBFP2","ara","5","0.001",200,"C2",0,0.123,0.1085,471,17,"C",2,0.0193875,0.607201390705418,0.0319292746966151,4.96354901564325,0.980201182862205,5.06380639242814,19486637.885438,55844891045.9751
"M9","DH10B","pS361_ara_mTagBFP2","ara","5","0.001",200,"C3",0,0.1259,0.1133,473,17,"C",3,0.0241875,0.607201390705418,0.0398343949309801,8.46933640446196,0.977246444185132,8.66653079666515,24311182.6617167,95576613831.4542
"M9","DH10B","pS361_ara_mTagBFP2","ara","5","0.001",200,"C4",0,0.1211,0.1097,466,17,"C",4,0.0205875,0.607201390705418,0.0339055547552064,0.340033009005253,0.979459339478586,0.347163986599249,20692774.0795077,3828609054.98108
"M9","DH10B","pS361_ara_mTagBFP2","ara","6","0.003",200,"C5",0,0.1247,0.1122,472,18,"C",5,0.0230875,0.607201390705418,0.0380228048772715,7.12431848670974,0.977920603714823,7.2851706566429,23205557.8171529,80342637542.3637
"M9","DH10B","pS361_ara_mTagBFP2","ara","6","0.003",200,"C6",0,0.1267,0.1142,472,17,"C",6,0.0250875,0.607201390705418,0.0413166049749236,7.751563892901,0.976696163916452,7.93651514081721,25215784.807269,87525823259.4363
"M9","DH10B","pS361_ara_mTagBFP2","ara","6","0.003",200,"C7",0,0.1239,0.1107,462,17,"C",7,0.0215875,0.607201390705418,0.0355524548040324,-3.34623743364887,0.978842749674269,-3.41856486627949,21697887.5745658,-37700766517.5434
"M9","DH10B","pS361_ara_mTagBFP2","ara","7","0.01",200,"C8",0,0.1283,0.1176,471,17,"C",8,0.0284875,0.607201390705418,0.0469160651409321,7.81677734270392,0.974627865252171,8.02026868037621,28633170.6904663,88449477706.0955
"M9","DH10B","pS361_ara_mTagBFP2","ara","7","0.01",200,"C9",0,0.1221,0.11,473,17,"C",9,0.0208875,0.607201390705418,0.0343996247698542,7.43415298155912,0.97927420881134,7.59149267352076,20994308.1280251,83720831401.2574
"M9","DH10B","pS361_ara_mTagBFP2","ara","7","0.01",200,"C10",0,0.1289,0.1159,482,18,"C",10,0.0267875,0.607201390705418,0.0441163350579279,18.284425482214,0.975659937197512,18.7405721861802,26924477.7488677,206675597519.168
"M9","none","none","none","none","none",200,"C11",0,0.0939,0.0881,464,17,"C",11,-0.0010125,0.607201390705418,-0.00166748629943638,-8.4366944363212,0.993143467444259,-8.49494027084734,-1017677.41374628,-93684271692.7134
"","","","","","",NA,"C12",0,NA,NA,NA,NA,"C",12,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","",NA,"D1",0,NA,NA,NA,NA,"D",1,NA,NA,NA,NA,NA,NA,NA,NA
"M9","DH10B","pS361_ara_mTagBFP2","ara","8","0.03",200,"D2",0,0.1284,0.115,473,17,"D",2,0.0258875,0.607201390705418,0.0426341250139844,9.00236849742043,0.976208008849138,9.2217728351086,26019875.6033154,101699958354.931
"M9","DH10B","pS361_ara_mTagBFP2","ara","8","0.03",200,"D3",0,0.1223,0.1084,473,17,"D",3,0.0192875,0.607201390705418,0.0317645846917325,6.93217527323145,0.980263098690403,7.07174969912934,19386126.5359322,77988979207.9743
