instrument,plate,seal,channel_name,channel_ex,channel_em,media,calibrant,protein,replicate,volume,well
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,BSA,BSA,2,200,F3
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,BSA,BSA,2,200,F4
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,BSA,BSA,2,200,F5
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,BSA,BSA,2,200,F6
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,BSA,BSA,2,200,F7
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,BSA,BSA,2,200,F8
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,BSA,BSA,2,200,F9
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,BSA,BSA,2,200,F10
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,BSA,BSA,2,200,F11
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,BSA,none,2,200,F12
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,G1
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,G2
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,G3
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,G4
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,G5
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,G6
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,G7
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,G8
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,G9
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,G10
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,G11
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,none,1,200,G12
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,H1
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,H2
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,H3
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,H4
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,H5
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,H6
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,H7
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,H8
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,H9
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,H10
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,H11
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,none,2,200,H12
