instrument,plate,seal,channel_name,channel_ex,channel_em,media,calibrant,protein,replicate,mw_gmol1,concentration_ngul,dilution,rev_dilution,volume,well
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,BSA,BSA,1,,0.390625,0.001953125,10,225,E10
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,BSA,BSA,1,,0.1953125,0.000976563,11,225,E11
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,BSA,none,1,,0,,,225,E12
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,BSA,BSA,2,,20,1,1,225,F1
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,BSA,BSA,2,,10,0.5,2,225,F2
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,BSA,BSA,2,,5,0.25,3,225,F3
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,BSA,BSA,2,,2.5,0.125,4,225,F4
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,BSA,BSA,2,,1.25,0.0625,5,225,F5
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,BSA,BSA,2,,0.625,0.03125,6,225,F6
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,BSA,BSA,2,,0.3125,0.015625,7,225,F7
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,BSA,BSA,2,,0.15625,0.0078125,8,225,F8
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,BSA,BSA,2,,0.078125,0.00390625,9,225,F9
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,BSA,BSA,2,,0.0390625,0.001953125,10,225,F10
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,BSA,BSA,2,,0.01953125,0.000976563,11,225,F11
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,BSA,none,2,,0,,,225,F12
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,1,,,1,1,225,G1
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,1,,,0.5,2,225,G2
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,1,,,0.25,3,225,G3
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,1,,,0.125,4,225,G4
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,1,,,0.0625,5,225,G5
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,1,,,0.03125,6,225,G6
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,1,,,0.015625,7,225,G7
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,1,,,0.0078125,8,225,G8
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,1,,,0.00390625,9,225,G9
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,1,,,0.001953125,10,225,G10
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,1,,,0.000976563,11,225,G11
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,none,1,,0,,,225,G12
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,2,,,1,1,225,H1
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,2,,,0.5,2,225,H2
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,2,,,0.25,3,225,H3
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,2,,,0.125,4,225,H4
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,2,,,0.0625,5,225,H5
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,2,,,0.03125,6,225,H6
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,2,,,0.015625,7,225,H7
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,2,,,0.0078125,8,225,H8
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,2,,,0.00390625,9,225,H9
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,2,,,0.001953125,10,225,H10
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,mTagBFP2,2,,,0.000976563,11,225,H11
spark1,uvclear,noseal,spectra,na,na,T5N15_pi,mTagBFP2,none,2,,0,,,225,H12
