instrument,plate,seal,channel_name,channel_ex,channel_em,media,calibrant,protein,replicate,volume,well
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,G3
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,G4
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,G5
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,G6
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,G7
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,G8
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,G9
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,G10
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,G11
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,G12
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,H1
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,H2
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,H3
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,H4
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,H5
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,H6
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,H7
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,H8
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,H9
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,H10
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,H11
spark1,clear,qpcrseal,blueblue,400/20,465/35,,,,,,H12
