"instrument","plate","calibrant","measure","cf","beta"
"spark1","clear","microspheres","OD600",1.30333540086867e-09,2.14454768670257e-10
"spark1","clear","microspheres","OD700",1.10884129209764e-09,1.90156147927337e-10
