"instrument","plate","seal","channel_name","channel_ex","channel_em","media","calibrant","protein","replicate","volume","dilution","mw_gmol1","concentration_ngul","well","blueblue040","blueblue050","blueblue060","blueblue070","blueblue080","blueblue090","blueblue100","blueblue110","blueblue120","row","column"
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"D5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",5
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"D6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",6
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"D7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",7
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"D8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",8
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"D9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",9
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"D10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",10
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"D11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",11
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"D12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",12
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",1
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"E2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",2
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"E3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",3
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"E4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",4
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"E5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",5
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"E6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",6
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"E7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",7
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"E8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",8
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"E9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",9
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"E10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",10
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"E11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",11
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"E12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"E",12
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"F1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",1
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",2
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"F3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",3
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"F4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",4
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"F5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",5
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"F6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",6
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"F7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",7
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"F8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",8
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"F9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",9
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"F10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",10
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"F11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",11
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"F12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",12
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"G1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",1
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"G2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",2
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"G3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",3
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"G4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"G5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",5
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"G6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",6
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"G7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",7
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"G8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",8
"spark1","clear","qpcrseal","blueblue","400/20","465/35","","","",NA,NA,NA,NA,NA,"G9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",9
