"media","strain","plasmid","inducer","ara_diln_index","ara_pc","volume","well","OD700","blue","row","column"
"","","","","","",NA,"G1",NA,NA,"G",1
"M9","DH10B","pS381_ara_mTagBFP2","ara","5","0.001",200,"G2",0.5419,3336,"G",2
"M9","DH10B","pS381_ara_mTagBFP2","ara","5","0.001",200,"G3",0.5302,3494,"G",3
"M9","DH10B","pS381_ara_mTagBFP2","ara","5","0.001",200,"G4",0.5209,3558,"G",4
"M9","DH10B","pS381_ara_mTagBFP2","ara","6","0.003",200,"G5",0.4911,6097,"G",5
"M9","DH10B","pS381_ara_mTagBFP2","ara","6","0.003",200,"G6",0.4788,6159,"G",6
"M9","DH10B","pS381_ara_mTagBFP2","ara","6","0.003",200,"G7",0.476,6930,"G",7
"M9","DH10B","pS381_ara_mTagBFP2","ara","7","0.01",200,"G8",0.4705,17604,"G",8
"M9","DH10B","pS381_ara_mTagBFP2","ara","7","0.01",200,"G9",0.4359,16855,"G",9
"M9","DH10B","pS381_ara_mTagBFP2","ara","7","0.01",200,"G10",0.4364,16774,"G",10
"M9","none","none","none","none","none",200,"G11",0.0826,480,"G",11
"","","","","","",NA,"G12",NA,NA,"G",12
"","","","","","",NA,"H1",NA,NA,"H",1
"M9","DH10B","pS381_ara_mTagBFP2","ara","8","0.03",200,"H2",0.4368,16798,"H",2
"M9","DH10B","pS381_ara_mTagBFP2","ara","8","0.03",200,"H3",0.413,15421,"H",3
"M9","DH10B","pS381_ara_mTagBFP2","ara","8","0.03",200,"H4",0.4124,15418,"H",4
"M9","DH10B","pS381_ara_mTagBFP2","ara","9","0.1",200,"H5",0.4087,15174,"H",5
"M9","DH10B","pS381_ara_mTagBFP2","ara","9","0.1",200,"H6",0.3989,14840,"H",6
"M9","DH10B","pS381_ara_mTagBFP2","ara","9","0.1",200,"H7",0.4044,15285,"H",7
"M9","DH10B","pS381_ara_mTagBFP2","ara","10","0.3",200,"H8",0.3961,14995,"H",8
"M9","DH10B","pS381_ara_mTagBFP2","ara","10","0.3",200,"H9",0.392,14688,"H",9
"M9","DH10B","pS381_ara_mTagBFP2","ara","10","0.3",200,"H10",0.4082,15320,"H",10
"M9","none","none","none","none","none",200,"H11",0.088,481,"H",11
"","","","","","",NA,"H12",NA,NA,"H",12
